,nearest_miles,Intensity_5 miles,Intensity_10 miles,Intensity_20 miles,Intensity_30 miles,intensity_50 miles,Intensity_100 miles,Intensity_200 miles,,
6470,7,0,1,4,5,14,30,59,,
6473,6,0,1,2,4,9,31,56,,
6475,15,0,0,1,2,5,26,56,,
6477,5,0,1,3,5,11,30,57,,
6478,10,0,0,4,5,11,30,59,,
6484,9,0,1,5,5,13,31,59,,
6488,10,0,0,3,5,11,30,59,,
6489,9,0,1,2,3,8,30,59,,
6492,11,0,0,2,4,10,31,57,,
6506,0,1,1,3,5,11,29,56,,
6507,0,1,1,3,5,11,29,56,,
6510,0,1,1,3,5,11,29,56,,
6511,1,1,1,3,5,11,29,56,,
6512,3,1,1,2,4,11,29,56,,
6513,2,1,1,3,3,9,29,55,,
6514,4,1,1,3,5,10,30,56,,
6516,3,1,1,2,5,11,30,57,,
6518,7,0,1,2,5,9,31,56,,
6525,5,0,1,3,5,11,30,57,,
6601,0,1,1,4,7,15,28,59,,
6604,0,1,1,4,7,15,28,59,,
6605,1,1,1,4,8,14,28,60,,
6606,2,1,1,4,7,16,28,59,,
6611,5,0,1,4,5,16,28,59,,
6614,4,1,1,3,7,13,30,59,,
6615,3,1,1,3,7,14,29,58,,
6702,0,1,1,2,5,8,31,59,,
6708,1,1,1,2,5,8,32,59,,
6720,0,1,1,2,5,8,31,59,,
6749,6,0,1,3,5,10,30,59,,
6757,23,0,0,0,3,7,29,60,,
6759,15,0,0,1,3,8,31,60,,
6762,4,1,1,2,5,11,32,59,,
6770,4,1,1,2,5,12,32,59,,
6776,13,0,0,2,3,9,29,59,,
6784,13,0,0,1,3,9,28,61,,
6790,18,0,0,1,2,8,30,60,,
6795,5,0,1,1,6,8,31,60,,
6798,8,0,1,2,4,9,31,59,,
6801,3,1,1,3,5,16,28,60,,
6804,6,0,1,2,5,12,29,60,,
6807,9,0,1,3,12,22,29,59,,
6810,0,1,1,3,6,17,28,60,,
6811,2,1,1,1,6,15,28,60,,
6812,6,0,1,1,5,13,28,61,,
6813,0,1,1,2,6,17,28,60,,
6817,0,1,1,2,6,17,28,60,,
6820,5,0,1,3,10,20,28,60,,
6824,3,1,2,3,8,17,27,60,,
6825,2,1,2,4,8,16,28,60,,
6828,3,1,2,4,8,16,28,60,,
6829,8,0,2,3,6,18,29,60,,
6830,7,0,1,4,14,22,30,60,,
6831,5,0,1,4,13,22,30,60,,
6836,7,0,1,4,15,22,30,60,,
6840,4,1,1,4,9,20,28,60,,
6850,1,1,1,4,10,20,28,60,,
6851,0,1,1,3,9,19,28,60,,
6852,2,1,1,3,10,20,28,60,,
6853,4,1,1,3,9,19,28,60,,
6854,3,1,1,3,9,20,28,60,,
6855,2,1,1,3,10,20,28,60,,
6856,1,1,1,4,10,20,28,60,,
6870,10,0,0,3,12,22,28,59,,
6877,6,0,1,3,7,18,29,60,,
6878,9,0,1,3,12,22,29,59,,
6879,8,0,1,3,6,18,29,60,,
6880,3,1,2,3,8,18,28,60,,
6881,2,1,2,3,8,18,28,60,,
6883,6,0,2,3,8,18,27,60,,
6890,5,0,2,3,8,17,27,60,,
6896,6,0,1,3,6,17,28,60,,
6897,5,0,1,3,8,18,28,60,,
6901,8,0,1,3,12,21,28,60,,
6902,8,0,1,3,12,21,28,60,,
6903,8,0,1,4,10,21,28,60,,
6904,8,0,1,3,12,21,28,60,,
6905,7,0,1,3,12,21,28,60,,
6906,7,0,1,3,12,21,28,60,,
6907,6,0,1,3,11,21,28,60,,
6912,8,0,1,3,12,21,28,60,,
6921,8,0,1,3,12,21,28,60,,
6926,9,0,1,2,12,22,28,60,,
6927,9,0,1,2,12,22,28,60,,
7001,7,0,3,6,13,17,35,63,,
7002,4,1,4,11,12,20,35,63,,
7003,5,0,2,11,14,17,34,63,,
7004,5,0,2,6,13,16,33,64,,
7005,4,1,1,5,11,15,33,65,,
7006,7,0,3,9,14,17,33,64,,
7007,7,0,3,9,14,18,34,65,,
7008,7,0,3,6,13,17,35,63,,
7009,5,0,3,9,14,17,33,63,,
7011,2,1,2,12,14,19,33,61,,
7012,4,1,3,12,14,19,34,61,,
7013,3,1,3,12,14,17,34,62,,
7014,5,0,3,11,14,19,33,61,,
7015,2,1,2,11,14,20,33,62,,
7016,3,1,2,8,13,17,35,63,,
7018,2,1,2,11,13,18,35,63,,
7020,2,1,6,11,14,21,32,61,,
7022,3,1,6,11,15,21,32,60,,
7023,2,1,2,5,12,17,35,62,,
7024,3,1,5,11,14,21,32,61,,
7026,4,1,2,12,14,20,33,61,,
7028,5,0,2,11,14,18,34,63,,
7029,1,1,3,11,14,20,34,63,,
7030,2,2,5,10,15,19,33,59,,
7031,4,1,4,11,14,19,34,62,,
7032,3,1,4,11,14,19,33,63,,
7033,3,1,2,8,13,17,35,63,,
7034,2,1,1,5,13,17,33,64,,
7035,6,0,2,5,14,17,33,64,,
7036,7,0,3,8,13,17,35,63,,
7039,6,0,3,9,13,17,35,63,,
7040,4,1,2,10,13,17,35,62,,
7042,5,0,2,11,14,17,34,63,,
7043,5,0,3,11,14,17,33,63,,
7045,4,1,1,5,13,16,33,64,,
7046,2,1,1,5,11,16,34,63,,
7047,4,1,5,10,15,19,32,59,,
7052,5,0,4,9,13,17,35,64,,
7054,0,1,1,5,12,17,35,63,,
7058,3,1,2,5,13,16,33,64,,
7059,8,0,8,4,9,18,35,63,,
7060,5,0,2,5,11,18,35,62,,
7061,5,0,2,5,11,18,35,62,,
7065,6,0,2,7,13,17,35,63,,
7066,4,1,2,7,13,17,35,63,,
7068,6,0,3,9,13,17,35,64,,
7070,6,0,5,11,14,19,33,60,,
7071,5,0,5,11,14,19,33,61,,
7072,7,0,5,12,14,19,33,61,,
7073,6,0,5,12,14,19,33,60,,
7074,6,0,5,12,14,20,33,60,,
7075,6,0,4,12,14,20,33,61,,
7076,3,1,2,5,12,17,35,62,,
7078,4,1,3,9,12,17,35,63,,
7079,4,1,2,10,13,17,35,64,,
7080,4,1,2,5,10,18,35,62,,
7081,2,1,2,8,12,17,35,63,,
7082,5,0,2,5,13,16,33,65,,
7083,4,1,2,9,12,17,35,62,,
7086,3,1,5,10,15,19,33,59,,
7087,3,1,5,10,15,19,33,59,,
7090,2,1,2,7,13,17,35,63,,
7092,0,1,1,8,12,17,35,63,,
7093,4,1,6,10,15,19,32,59,,
7094,5,0,4,11,14,19,34,59,,
7095,6,0,2,6,12,17,35,63,,
7096,5,0,4,11,14,19,34,59,,
7101,0,1,4,12,13,18,35,63,,
7102,0,1,4,12,14,18,34,64,,
7103,1,1,3,12,13,18,35,63,,
7104,2,1,2,11,14,18,34,63,,
7105,1,1,4,12,14,20,34,63,,
7107,2,1,2,11,14,18,34,64,,
7110,5,0,2,11,14,19,34,62,,
7111,3,1,2,11,13,17,35,64,,
7114,1,1,4,12,13,18,35,63,,
7205,3,1,3,10,12,17,35,62,,
7207,4,1,3,10,13,17,35,62,,
7302,2,2,5,10,15,19,32,60,,
7305,4,2,4,10,14,20,32,63,,
7306,3,2,5,10,14,19,32,61,,
7310,2,2,6,10,15,19,32,59,,
7311,1,2,5,10,15,19,32,60,,
7401,6,0,3,6,13,19,33,61,,
7407,2,2,2,10,13,20,33,61,,
